year,Brand,Car_Price,Location,Mileage,Type
2006,دايو نوبيرا 2006,"EGP 260,000","Qalyub, Qalyubia•",183 km,Benzine
2024,بورشه ماكان 2024,"EGP 5,200,000","Sheikh Zayed, Giza•",10000 km,Benzine
2017,بى واى دى اف 3 2017,"EGP 400,000","El Maadi, Maadi•",200000 km,Diesel
2008,Daewoo Lanos 2008,"EGP 265,000","Nasr City, Cairo•",256000 km,Benzine
2007,هيونداي ماتريكس 2007,"EGP 445,000","Damanhour, Beheira•",445000 km,Benzine
2019,Renault Kadjar 2019,"EGP 1,050,000","Madinaty, Cairo•",74000 km,Benzine
2023,بي ام دبليو زد 4 BMW Z4 2023,"EGP 3,950,000","New Cairo, Cairo•",1 km,Benzine
2024,Volkswagen ID4 2024 Crozz Pro,"EGP 2,100,000","Heliopolis, Cairo•",New,Electric
2025,Mercedes-Benz GLC 300 Fully loaded 2025,"EGP 5,650,000","Nasr City, Cairo•",New,Benzine
2022,Mrecedes Benz E 300 2022,"EGP 4,000,000","New Cairo, Cairo•",80000 km,Hybrid
2023,مرسيدس بنز جى إل إيه 200 2023,"EGP 2,950,000","New Cairo, Cairo•",10000 km,Benzine
2022,كيا سبورتاج 2022,"EGP 2,100,000","Mansura, Dakahlia•",43000 km,Benzine
2022,نيسان صني موديل  2022 تقسيط,"EGP 660,000","New Cairo, Cairo•",69000 km,Benzine
2025,ام جى ام جى 7 2025 2025,"EGP 1,660,000","Nasr City, Cairo•",New,Benzine
2019,Mercedes-Benz C180 2019,"EGP 2,100,000","New Cairo, Cairo•",177000 km,Benzine
2012,رينو 12 2012,"EGP 290,000","Faisal, Giza•",212000 km,Benzine
2021,كيا سيراتو kia cerato,"EGP 940,000","Beverly Hills Compound, Sheikh Zayed•",230000 km,Benzine
2024,Mercedes-Benz G63 2024,"EGP 16,200,000","New Cairo, Cairo•",3000 km,Benzine
2008,جيلى ام كية 2008,"EGP 185,000","Badr City, Cairo•",95000 km,Benzine
2020,Mercedes-Benz G63 AMG 2020,"EGP 11,800,000","Sheikh Zayed, Giza•",50000 km,Benzine
2025,Mercedes-Benz SL-Class 2025,"EGP 13,650,000","New Cairo, Cairo•",New,Benzine
2018,Jeep Grand Cherokee 2018,"EGP 2,500,000","Heliopolis, Cairo•",94000 km,Benzine
2021,Mitsubishi Pajero 2021 \  باجيرو 2021,"EGP 3,050,000","Heliopolis, Cairo•",22000 km,Benzine
2025,Renault Austral 2025\ رينو اوسترال  2025,"EGP 1,650,000","Heliopolis, Cairo•",21000 km,Benzine
2025,Cupra Leon 2025 Top Line  \ ليون كوبرا 2025,"EGP 1,800,000","Nasr City, Cairo•",New,Benzine
2024,Porsche Boxster 2024,"EGP 6,500,000","New Cairo, Cairo•",9000 km,Benzine
2024,BMW X1 2024,"EGP 2,650,000","New Cairo, Cairo•",52000 km,Benzine
2023,BMW 530 2023 \ بي ام 530 2023,"EGP 4,000,000","New Cairo, Cairo•",15000 km,Benzine
2023,Mercedes-Benz E200 2023,"EGP 4,000,000","New Cairo, Cairo•",18000 km,Benzine
2022,مرسيدس بنز جي-كلاس 2022 G 500,"EGP 13,500,000","Nasr City, Cairo•",20000 km,Benzine
1998,لسرعة البيع,"EGP 520,000","6th of October, Giza•",200000 km,Benzine
2008,سبارك ٢٠٠٨ بحالة ممتازة,"EGP 242,000","Shubra, Cairo•",160000 km,Benzine
2004,شيفروليه أفيو 2004 Chevrolet Aveo 2004,"EGP 250,000","Agouza, Giza•",340000 km,Benzine
2021,فولكسفاغن تيجوان 2021,"EGP 2,150,000","Desouk, Kafr al-Sheikh•",5000 km,Benzine
2025,Mercedes-Benz G63 2025,"EGP 20,000,000","Sheikh Zayed, Giza•",New,Benzine
2005,هيونداي أكسنت 2005,"EGP 280,000","Kafr al-Sheikh City, Kafr al-Sheikh•",210000 km,Benzine
2021,بيجو 3008…. . 2021,"EGP 1,525,000","Janna, 6th of October•",136500 km,Benzine
2025,ام جى ام جى 7 2025,"EGP 1,700,000","Nasr City, Cairo•",New,Benzine
2022,سوزوكي بالينو 2022 اوتوماتيك حالة مميزه وبيتى جدا جدا بفضل الله تعالى.,"EGP 750,000","Laurent, Alexandria•",82000 km,Benzine
2006,فولكسفاغن بوينتر 2006 حالة مميزه وبيتى جدا جدا بفضل الله تعالى ممتازة.,"EGP 275,000","Laurent, Alexandria•",146000 km,Benzine
2024,Jetour x70 2024 Luxury V4,"EGP 1,600,000","El Maadi, Maadi•",8000 km,Benzine
1978,فيات 128 1978,"EGP 42,000","Dekheila, Alexandria•",99999 km,Benzine
1992,فيات شاهين بسعر مناسب,"EGP 75,000","Shubra, Cairo•",99999 km,Benzine
2009,Chevrolet Lanos 2009,"EGP 270,000","Damietta City, Damietta•",147000 km,Benzine
2008,فيات بونتو 2008,"EGP 280,000","Miami, Alexandria•",200000 km,Benzine
2021,Speranza Tiggo 2021,"EGP 770,000","6th of October, Giza•",133000 km,Benzine
2023,Mercedes-Benz C180 2023 — مرسيدس سي ١٨٠,"EGP 3,200,000","Asyut City, Asyut•",37000 km,Benzine
2017,Kia Picanto 2017,"EGP 650,000","Sheraton, Cairo•",65200 km,Benzine
2021,شيرى تيجو 3 2021 موديل 2021,"EGP 575,000","Haram, Giza•",265000 km,Benzine
2019,أودي إيه 3 2019,"EGP 1,390,000","Obour City, Cairo•",85000 km,Benzine
2008,زوتى اكسبلوجن 2008,"EGP 240,000","Al Hadaba Al Wosta, Mokattam•",157000 km,Benzine
2024,Mercedes-Benz EQE 500 2024 كهرباء فابريكا بالكامل لم ترخص - زيرو,"EGP 3,750,000","Nasr City, Cairo•",4400 km,Electric
2025,GLC300 2025 Black  plus سعر مميز عند التنفيذ,"EGP 5,600,000","New Cairo, Cairo•",New,Benzine
2026,BMW M4 Competition 2026,"EGP 11,500,000","Sheikh Zayed, Giza•",New,Benzine
2022,ام جى زد إس 2022,"EGP 890,000","Ramses + Ramses Extension, Cairo•",54730 km,Benzine
2024,Fiat 500X,"EGP 1,140,000","Nasr City, Cairo•",New,Benzine
2006,Dodge Ram 2006,"EGP 1,200,000","Katameya, Cairo•",200 km,Benzine
1982,فيات 128 1982,"EGP 55,000","Arbaeen, Suez•",50000 km,Benzine
1972,Fiat 128 1972,"EGP 40,000","Darb al-Ahmar, Cairo•",40000 km,Benzine
2012,Chevrolet Aveo 2012,"EGP 340,000","Tanta, Gharbia•",157000 km,Benzine
2015,Ford Fusion 2015,"EGP 900,000","New Maadi, Maadi•",173269 km,Benzine
2025,Chery Tiggo 4 Pro 2025,"EGP 930,000","5th Settlement, New Cairo•",27000 km,Benzine
2006,هيونداي افانتي 2006,"EGP 355,000","Maryotaya, Giza•",200 km,Benzine
2012,جيب شيروكى 2012,"EGP 1,050,000","Mountain Plaza, Mokattam•",290000 km,Benzine
2017,Hyundai Accent 2017,"EGP 640,000","Rehab City Compound, New Cairo•",140000 km,Benzine
2016,هيونداي سولاريس 2016,"EGP 230,000","Haram, Giza•",135000 km,Benzine
2024,Chevrolet Camaro 2024,"EGP 4,100,000","Heliopolis, Cairo•",28000 km,Benzine
2021,Range Rover Vogue Autobiography 2021 Fifty Edition الوحيدة في مصر وكيل,"EGP 9,500,000","New Cairo, Cairo•",50000 km,Benzine
2020,Range Rover Sport 2020 HSE,"EGP 5,000,000","Heliopolis, Cairo•",64000 km,Benzine
2021,Opel Astra 2021 فبريكه بالكامل,"EGP 850,000","New Cairo, Cairo•",82000 km,Benzine
2015,جيلى امجراند 7 2015,"EGP 300,000","Al Wahat Road, 6th of October•",999999 km,Benzine
2008,جيب شيروكى 2008 Jeep KK,"EGP 825,000","El Maadi, Maadi•",312 km,Benzine
2008,Honda Civic 2008,"EGP 600,000","El Maadi, Maadi•",314000 km,Benzine
2025,المتحده اوتوجروب: شيري تيجو8 باقل مقدم وبالبطاقه فقط وبدون استعلام عمل,"EGP 1,100,000","Mansura, Dakahlia•",New,Benzine
2025,بى واى دى سونج إل موديل 2025 زيرو متاح تقسيط,"EGP 2,290,000","New Cairo, Cairo•",New,Benzine
1995,بمقدم25.500 هيونداي إكسيل 1995 كاملة مانيول مجددة بالكامل,"EGP 170,000","Nasr City, Cairo•",150000 km,Benzine
2012,شيفروليه أفيو 2012,"EGP 360,000","El Maadi, Maadi•",180000 km,Benzine
2025,Mercedes Benz GLA 200 2025 مرسيدس استلام فوري,"EGP 3,350,000","New Cairo, Cairo•",New,Benzine
2008,تويوتا ياريس ٢٠٠٨ فابريقة بالكامل مواصفات خليجى,"EGP 450,000","Alex West, Agami•",91000 km,Benzine
2020,ام جى زد إس 2020 بحاله فوق الممتازة,"EGP 785,000","New Nozha, Cairo•",98000 km,Benzine
2015,جيلى امجراند 7 2015,"EGP 275,000","Mohandessin, Giza•",211 km,Benzine
2025,Mercedes-Benz GLC 300 2025,"EGP 5,950,000","Nasr City, Cairo•",New,Benzine
2026,المتحده اوتوجروب: تنيسان صني 2026 جميع فئات باقل مقدم وبالبطاقه فقط,"EGP 700,000","Mansura, Dakahlia•",New,Benzine
2017,Mazda 2 2017,"EGP 620,000","Smart Village, 6th of October•",120000 km,Benzine
2019,Ssang Yong Tivoli XLV 2019 الفئة الكاملة,"EGP 825,000","Seyouf, Alexandria•",195000 km,Benzine
2014,Hyundai Accent RB 2014,"EGP 500,000","Hadayek al-Ahram, Giza•",121000 km,Benzine
2023,بي ام دبليو 320 2023,"EGP 2,600,000","Sheikh Zayed, Giza•",42000 km,Benzine
1988,بمقدم35.000 فولكس جولف2 اتوماتيك فتحة سقف وجنوط2انش صالون جيتا,"EGP 229,000","Nasr City, Cairo•",111111 km,Benzine
2018,BMW 318 2018,"EGP 1,400,000","Nasr City, Cairo•",160000 km,Benzine
2022,MG MG 5 2022,"EGP 850,000","Al Ibrahimiyyah, Alexandria•",13000 km,Benzine
2025,United Auto Group: The new 2025 Skoda Kodiaq with the lowest down payment and only with the card,"EGP 2,650,000","Mansura, Dakahlia•",New,Benzine
2025,Skoda Kodiaq 2025 suite استيراد,"EGP 2,700,000","Heliopolis, Cairo•",New,Benzine
2023,Skoda Superb Ambition 2023 سكودا سوبيرب امبيشن,"EGP 2,100,000","New Cairo, Cairo•",100000 km,Benzine
1997,أوبل فيكترا 1997,"EGP 240,000","Madinaty, Cairo•",11 km,Benzine
2024,Range Rover Evoque 2024 MTI Warranty 2.0L,"EGP 4,950,000","New Cairo, Cairo•",New,Benzine
2025,United: Zikear X 2025 lower down payment lower interest in card form,"EGP 2,000,000","Mansura, Dakahlia•",New,Electric
2025,Toyota Corolla 2025,"EGP 1,450,000","Nasr City, Cairo•",New,Benzine
2025,BYD Song Plus 2025 أعلي مواصفه في السوق,"EGP 1,925,000","Nasr City, Cairo•",New,Benzine
2022,E200 convertible 2022 heavy loaded. . wakeel,"EGP 4,600,000","New Cairo, Cairo•",19000 km,Benzine
2024,شانجان CS55 PLUS بأقل مقدم و أطول فترة سداد مع ابوحته مصر,"EGP 1,300,000","Heliopolis, Cairo•",New,Benzine
2026,2026 MERCEDES C200 AMG استوردها الان مع الشاذلي,"EGP 3,950,000","5th Settlement, New Cairo•",New,Benzine
2024,كاديلاك ليريك 2024  -Cadillac Lyriq Luxury 450E,"EGP 2,500,000","Nasr City, Cairo•",New,Electric
2025,United Auto Group: The all-new 2026 Chevrolet Optra in card format.,"EGP 800,000","Mansura, Dakahlia•",New,Benzine
2022,one of one بي إم دبليو - BMW M440i Coupe قطعة واحدة في مصر - 383 حصان,"EGP 7,750,000","New Cairo, Cairo•",New,Benzine
2025,"United Auto Group: Fiat Tipo with the lowest down payment and the longest installment period, and with just the card.","EGP 1,100,000","Mansura, Dakahlia•",New,Benzine
2025,United Autogroup: Octava with a lower down payment and just with the card and without a work inquiry,"EGP 1,750,000","Mansura, Dakahlia•",New,Benzine
2024,"United Auto Group: Seat Leon with the lowest down payment and the longest repayment period, just with the card","EGP 1,500,000","Mansura, Dakahlia•",New,Benzine
2025,المتحده اوتوجروب: تويوتا كرولا 2025 جميع فئات باقل مقدم وبالبطاقه فقط,"EGP 1,440,000","Mansura, Dakahlia•",New,Benzine
2011,كيا ريو 2011,"EGP 180,000","Haram, Giza•",180000 km,Benzine
2017,شيفروليه أفيو 2017,"EGP 450,000","Dekheila, Alexandria•",195000 km,Benzine
2024,Jaguar F-pace R-Dynamic SE P250 AWD MTI,"EGP 1,800,000","Nasr City, Cairo•",New,Benzine
2022,مازيراتي ليفانتي جي تي 2.0 لتر Mazerati Levante GT /330,"EGP 5,150,000","New Cairo, Cairo•",16000 km,Benzine
2022,رانج روفر فوج لونج   2022 Range Rover Vouge Autobiography Long,"EGP 7,800,000","New Cairo, Cairo•",48000 km,Benzine
2022,One of one in egypt بي إم دبليو BMW 750Li V8 - 4.4L 2022 حزمة الأعمال,"EGP 8,500,000","New Cairo, Cairo•",New,Benzine
2022,شيفروليه كامارو Zl1 كوبيه 2022 Chevrolet Camato ZL1 V8 Super Charge,"EGP 10,500,000","New Cairo, Cairo•",5000 km,Benzine
2025,المتحده اوتوجروب: شانجان يونى تى 2025 باقل مقدم وبالبطاقه فقط,"EGP 1,385,000","Mansura, Dakahlia•",New,Benzine
2025,المتحده اوتوجروب: فولكسفاجن تيجوان شكل جديد باقل فايده بالبطاقة فقط,"EGP 2,550,000","Mansura, Dakahlia•",New,Benzine
2025,المتحده اوتوجروب: شيري تيجو 4 الجديده كليا باقل مقدم وبالبطاقه فقط,"EGP 880,000","Mansura, Dakahlia•",New,Benzine
2024,Land Rover Velar 2024,"EGP 5,650,000","New Heliopolis, Cairo•",New,Benzine
2024,BMW 740i - Pure Excellence - الوحيدة في مصر استلام فوري ضمان الوكيل,"EGP 7,600,000","New Cairo, Cairo•",New,Benzine
2006,بي ام دبليو 530 2006 BMW,"EGP 680,000","Hadayek October, Giza•",78000 km,Benzine
2020,c200 exclusive 2000cc 80 km,"EGP 2,650,000","Zagazig, Sharqia•",95000 km,Benzine
2020,كيا سبورتاج 2020 high line,"EGP 1,520,000","Nasr City, Cairo•",83000 km,Benzine
2025,Porsche Taycan 2025,"EGP 7,500,000","New Cairo, Cairo•",New,Electric
2013,سيارة رينجر فبريكا بالكامل,"EGP 1,350,000","Al Manial, Cairo•",200000 km,Benzine
2019,Jeep Grand Cherokee 2019,"EGP 3,000,000","Nasr City, Cairo•",55000 km,Benzine
2024,Range Rover Vogue 2024,"EGP 14,500,000","Heliopolis, Cairo•",9500 km,Benzine
2025,Mercedes-Benz GLC 300 2025 AMG PREMIUM + cheapest price in Egypt,"EGP 5,850,000","Heliopolis, Cairo•",New,Benzine
2018,رينو لوجان 2018,"EGP 235,000","Haram, Giza•",122000 km,Benzine
2019,هيونداي توسان 2019,"EGP 1,220,000","Nasr City, Cairo•",90000 km,Benzine
2025,Hyundai Accent 2025,"EGP 880,000","Sharq District, Port Said•",6800 km,Benzine
2024,Mercedes-Benz GLC 200 Coupé AMG  2024,"EGP 5,400,000","Nasr City, Cairo•",New,Benzine
2025,مرسيدس بنز جى إل سى 300 2025 amg,"EGP 5,950,000","New Cairo, Cairo•",New,Benzine
2005,دايو لانوس 2005,"EGP 210,000","Qusiya, Asyut•",New,Benzine
1979,فيات 131 1979,"EGP 75,000","Zagazig, Sharqia•",123456 km,Benzine
2025,Mercedes-Benz GLC 300 2025 AMG,"EGP 5,500,000","New Cairo, Cairo•",New,Benzine
2001,فيات سيينا 2001,"EGP 125,000","Zawya al-Hamra, Cairo•",199999 km,Benzine
2022,Renault Megane 2022 فابريكا برا و جوا بدون خرابيش صيانات توكيل,"EGP 875,000","New October, 6th of October•",116000 km,Benzine
2017,Hyundai Tucson 2017,"EGP 1,200,000","Heliopolis, Cairo•",91600 km,Benzine
2009,Chevrolet Lanos 2009,"EGP 300,000","New Cairo, Cairo•",110000 km,Benzine
2018,BMW X1 2018,"EGP 1,600,000","Dreamland Compound, 6th of October•",112000 km,Benzine
2025,BMW IX3 2025 بي ام,"EGP 2,800,000","New Cairo, Cairo•",New,Electric
2025,مرسيدس بنز جى 63 2025 MERCEDES G63 استوردها الان مع الشاذلي,"EGP 18,000,000","5th Settlement, New Cairo•",New,Benzine
2021,زيرووو Range rover Sport 2021  أعلي كماليات زيرووو,"EGP 6,400,000","Shatby, Alexandria•",11000 km,Benzine
2025,الإستلام فى سبتمبر تقسيط مباشربدون فوائد والمصاريف علينا لمدة سنتين,"EGP 2,400,000","Nasr City, Cairo•",New,Electric
2025,Skoda Kodiaq  sportline 2025 سكودا كودياك سبورت لاين,"EGP 3,300,000","New Cairo, Cairo•",New,Benzine
2021,شيفروليه أوبترا 2021 - توب لاين كاملة   فابريكا بالكامل - حالة ممتازة,"EGP 630,000","Kafr al-Sheikh City, Kafr al-Sheikh•",42000 km,Benzine
2017,Renault Sandero 2017 - رينو سانديرو 2017 فابريكا بالكامل,"EGP 590,000","Nasr City, Cairo•",52000 km,Benzine
1982,سياره للبيع,"EGP 55,000","Salam City, Cairo•",15000 km,Benzine
2009,BMW 750 2009,"EGP 1,300,000","6th of October, Giza•",115000 km,Benzine
1999,دايو لانوس 1999,"EGP 240,000","Maadi, Cairo•",250000 km,Benzine
2022,Skoda Octavia 2022,"EGP 1,540,000","Shorouk City, Cairo•",19700 km,Benzine
2016,أوبل موكا 2016 اعلي فئة. فبريكة بالكامل. نقدي وتقسيط,"EGP 695,000","Nasr City, Cairo•",159000 km,Benzine
2025,Mercedes-Benz GLC 300 2025 AMG,"EGP 5,900,000","Heliopolis, Cairo•",New,Benzine
2024,Audi Q4 E-Tron 2024,"EGP 2,400,000","Heliopolis, Cairo•",New,Electric
2025,ام جي MG RX5 2025 PERFORMANCE,"EGP 1,490,000","Nasr City, Cairo•",New,Benzine
2007,دايهاتسو شاريد 2007,"EGP 340,000","Mostakbal City, Cairo•",122000 km,Benzine
2024,MG RX5 2024,"EGP 1,400,000","New Zayed, Sheikh Zayed•",19100 km,Benzine
2021,رينو سانديرو ستيب واى 2021 هاي لاين,"EGP 640,000","New Nozha, Cairo•",99000 km,Benzine
2025,سكودا كودياك 2025,"EGP 3,050,000","1st Settlement, New Cairo•",New,Hybrid
2024,Mercedes-Benz EQA 260 2024,"EGP 2,350,000","Heliopolis, Cairo•",New,Electric
2024,BYD Han 2024 701 flagship,"EGP 2,250,000","Heliopolis, Cairo•",New,Electric
2024,Kia EV5 2024,"EGP 1,920,000","Heliopolis, Cairo•",New,Electric
2024,Volkswagen ID7 2024,"EGP 2,275,000","Heliopolis, Cairo•",New,Electric
2015,جيلي امجراند 7 2015,"EGP 300,000","Damietta City, Damietta•",1 km,Benzine
2015,بروتون جين-2 2015,"EGP 420,000","Ain Shams, Cairo•",170000 km,Benzine
2015,Chevrolet Aveo 2015,"EGP 450,000","6th of October, Giza•",99000 km,Benzine
2023,Mercedes-Benz C200 2023,"EGP 3,250,000","Heliopolis, Cairo•",41000 km,Benzine
2020,Range Rover Velar 2020,"EGP 3,400,000","Rehab City Compound, New Cairo•",116000 km,Benzine
2019,Range Rover Sport Supercharged,"EGP 5,650,000","New Cairo, Cairo•",130000 km,Benzine
2025,Mercedes-Benz C200 AMG 2024,"EGP 4,300,000","New Cairo, Cairo•",New,Benzine
2011,Chevrolet Cruze 2011,"EGP 420,000","1st Settlement, New Cairo•",185000 km,Benzine
2024,BMW X1 2024,"EGP 3,150,000","5th Settlement, New Cairo•",10000 km,Benzine
2023,مرسيدس بنز سي 180 2023,"EGP 3,500,000","Nasr City, Cairo•",9000 km,Benzine
2017,بي ام دبليو 340i سنه 2017,"EGP 1,825,000","Sheikh Zayed, Giza•",149000 km,Benzine
2024,Land Rover Evoque 2024 P160,"EGP 3,950,000","New Cairo, Cairo•",New,Benzine
1997,سيات إبيزا 1997,"EGP 200,000","Mansura, Dakahlia•",1000 km,Benzine
2022,هيونداي أكسنت 2022,"EGP 725,000","Sheikh Zayed, Giza•",89000 km,Benzine
2007,شيفروليه اوبترا 2007,"EGP 385,000","Mostakbal City, Cairo•",114 km,Benzine
2025,بروتون ساجا 2025,"EGP 670,000","Nasr City, Cairo•",New,Benzine
2025,mg 7 2025,"EGP 1,665,000","Nasr City, Cairo•",New,Benzine
2024,BMW X5 2024,"EGP 6,500,000","Heliopolis, Cairo•",10000 km,Benzine
2017,فيات جراند بونتو 2017,"EGP 550,000","Al Ibrahimiyyah, Alexandria•",42000 km,Benzine
2025,شيفروليه كابتيفا 2025,"EGP 1,400,000","Nasr City, Cairo•",New,Benzine
2015,Mercedes-Benz C180 2015,"EGP 1,800,000","New Cairo, Cairo•",180000 km,Benzine
2024,Peugeot 408 2024 GT-line,"EGP 2,050,000","Heliopolis, Cairo•",35000 km,Benzine
2023,Mercedes-Benz C180 2023,"EGP 3,050,000","New Cairo, Cairo•",8000 km,Benzine
2023,Mercedes-Benz EQS 450+ 2023,"EGP 5,875,000","Heliopolis, Cairo•",New,Electric
2020,مرسيدس بنز إس 320 2020 Mercedes -  Benz  S 320  - Exclusive 2020 18000,"EGP 6,750,000","Madinaty, Cairo•",18000 km,Benzine
2024,Volkswagen ID4 2024 Crozz Pro,"EGP 2,100,000","Heliopolis, Cairo•",New,Electric
2023,Mercedes-Benz GLA 200 2023,"EGP 3,100,000","New Cairo, Cairo•",8000 km,Benzine
2024,Peugeot 408 2024 GT-line,"EGP 2,050,000","Heliopolis, Cairo•",35000 km,Benzine
2019,مرسيدس بنز سي 180 2019,"EGP 2,000,000","Nasr City, Cairo•",169000 km,Benzine
2025,ام جى ام جى 1 2025,"EGP 1,425,000","Nasr City, Cairo•",New,Benzine
1984,Opel  1984,"EGP 65,000","Zahraa Madinat Nasr, Nasr City•",200000 km,Benzine
2011,سبرانزا A113 موديل 2011 بحالة ممتازة,"EGP 230,000","Mansura, Dakahlia•",92000 km,Benzine
2025,جيتور تي 2 2025,"EGP 2,075,000","Nasr City, Cairo•",1000 km,Benzine
2024,شيرى تيجو 3 2024,"EGP 860,000","Nasr City, Cairo•",New,Benzine
2026,نيسان صني 2026,"EGP 785,000","Nasr City, Cairo•",New,Benzine
2024,Mercedes-Benz EQE 500 2024,"EGP 4,000,000","Heliopolis, Cairo•",New,Electric
2016,أوبل انسيجنيا 2016,"EGP 865,000","Arena City Towers Compound, Nasr City•",217000 km,Benzine
2020,Range Rover Vogue 2020 P400 وكيل,"EGP 6,950,000","Heliopolis, Cairo•",70000 km,Benzine
2016,سوزوكي فان 2016,"EGP 275,000","Zawya al-Hamra, Cairo•",84000 km,Benzine
2009,سكودا أوكتافيا 2009,"EGP 410,000","Downtown Cairo, Cairo•",170000 km,Benzine
2009,Renault Megane 2009,"EGP 500,000","New Heliopolis, Cairo•",200000 km,Benzine
2022,سوزوكي سويفت 2022,"EGP 720,000","Nasr City, Cairo•",New,Benzine
2019,بي ام دبليو 520 2019 BMW 520i Luxury Line,"EGP 2,320,000","Heliopolis, Cairo•",60000 km,Benzine
2012,كيا بيكانتو 2012,"EGP 465,000","Seyouf, Alexandria•",140000 km,Benzine
2014,Ford Focus 2014  فورد فوكس 2014,"EGP 630,000","5th Settlement, New Cairo•",188000 km,Benzine
2025,GAC EMPOW 2025,"EGP 1,385,000","New Cairo, Cairo•",New,Benzine
2013,Renault Logan 2013 اتوماتيك,"EGP 360,000","Obour City, Cairo•",225 km,Benzine
2025,Mercedes Benz Glc 300 coupe 2025 // تسليم فوري //,"EGP 5,900,000","Damietta City, Damietta•",New,Benzine
2022,مرسيدس بنز سي 180 موديل 2022 تقسيط mercedes c180,"EGP 2,750,000","New Cairo, Cairo•",38000 km,Benzine
2016,رينو لوجان 2016,"EGP 390,000","Hadayek al-Ahram, Giza•",158000 km,Benzine
2010,كيا سيراتو 2010,"EGP 610,000","Nasr City, Cairo•",270000 km,Benzine
1987,اوبل أوميجا 1987,"EGP 210,000","Ain Sukhna, Suez•",200000 km,Benzine
2023,Mercedes-Benz C180 2023 AMG وكيل,"EGP 3,700,000","Heliopolis, Cairo•",New,Benzine
2025,Mercedes-Benz V300 2025,"EGP 9,000,000","Heliopolis, Cairo•",New,Benzine
2011,هيونداي نيو أكسنت 2011 اسبورت,"EGP 440,000","Port Fouad, Port Said•",200000 km,Benzine
1983,فيات 128 1983,"EGP 48,000","Fleming, Alexandria•",85200 km,Benzine
2011,BMW 528 2011,"EGP 1,250,000","5th Settlement, New Cairo•",280000 km,Benzine
2025,MG Hs Model 2025,"EGP 1,580,000","Beverly Hills Compound, Sheikh Zayed•",New,Benzine
2025,Mercedes E200 2025 Premium plus,"EGP 5,750,000","Heliopolis, Cairo•",New,Benzine
2025,Hyundai Elantra AD Model 2025 P3,"EGP 1,195,000","5th District, 6th of October•",New,Benzine
2019,Seat Leon 2019,"EGP 1,100,000","Minya City, Minya•",90000 km,Benzine
2023,Land Rover Velar 2023,"EGP 4,950,000","5th Settlement, New Cairo•",20000 km,Benzine
2025,Mercedes E200 2025 Premium plus,"EGP 5,750,000","Heliopolis, Cairo•",New,Benzine
2013,Opel Astra 2013,"EGP 520,000","Maadi, Cairo•",168000 km,Benzine
2024,مرسيدس بنز مايباخ 580 2024 Mercedes Maybach S580,"EGP 22,500,000","New Cairo, Cairo•",New,Benzine
2023,رولز رويس كولينان 2023 - Rolls Royce Cullinan Black Badge,"EGP 10,000,000","New Cairo, Cairo•",New,Benzine
2025,مرسيدس بنز اي 200 Mercedes E200 AMG Premium Plus 2025,"EGP 6,150,000","New Cairo, Cairo•",New,Benzine
2025,kaiyi x3 pro,"EGP 945,000","New Cairo, Cairo•",New,Benzine
2025,مرسيدس اي 200 Mercedes-Benz E200 2025,"EGP 5,650,000","New Cairo, Cairo•",New,Benzine
2025,Mercedes E200 AMG Premium Plus 2025,"EGP 5,650,000","5th Settlement, New Cairo•",New,Benzine
2024,مرسيدس بنز سى إل إي 300 2024 استلام فوري مـــــع الشاذلي,"EGP 4,600,000","5th Settlement, New Cairo•",25000 km,Benzine
2026,Hyundai Elantra AD 2026,"EGP 1,025,000","Nasr City, Cairo•",New,Benzine
2025,تويوتا كورولا Elegance اعلي فئة متاح جميع الألوان 2025,"EGP 1,645,000","Nasr City, Cairo•",New,Benzine
1999,Daewoo Matiz 1999,"EGP 130,000","Ismailia City, Ismailia•",250 km,Benzine
2026,جيه ام سي jmc موديل 2026 بالتقسيط باقل مقدم واقل فايدة,"EGP 720,000","Marg, Cairo•",New,Diesel
2018,"Mercedes-Benz E200 2018 convirtble 34,000km!!","EGP 3,100,000","Heliopolis, Cairo•",34000 km,Benzine
2020,هيونداي إلينترا 2020,"EGP 960,000","Zagazig, Sharqia•",133000 km,Benzine
2025,MINI Countryman S 2025,"EGP 4,500,000","5th Settlement, New Cairo•",New,Benzine
2016,Opel Astra 2016,"EGP 665,000","Rehab City Compound, New Cairo•",111000 km,Benzine
2008,هيونداي إلينترا 2008,"EGP 530,000","Abu Rawash, Giza•",269000 km,Benzine
2017,هيونداي كريتا 2017,"EGP 850,000","Nasr City, Cairo•",100000 km,Benzine
2007,ميتسوبيشي لانسر بومة 2007,"EGP 450,000","New Cairo, Cairo•",178000 km,Benzine
2022,Land Rover Velar 2022,"EGP 4,250,000","Almazah, Cairo•",50000 km,Benzine
2024,مرسيدس بنز سي 180 2024,"EGP 2,850,000","6th of October, Giza•",8500 km,Benzine
1984,فيات 127 1984,"EGP 47,000","Hadayek Helwan, Cairo•",1 km,Benzine
2022,فيات تيبو 2022,"EGP 945,000","New Cairo, Cairo•",45000 km,Benzine
2007,فولكسفاغن جيتا 2007,"EGP 670,000","Haram, Giza•",250000 km,Benzine
1999,دايو نوبيرا 1999,"EGP 230,000","Zagazig, Sharqia•",200000 km,Benzine
2018,نيسان كاشاكى 2018,"EGP 840,000","Ashgar Darna, Zahraa Al Maadi•",113000 km,Benzine
2019,هيونداي إلينترا 2019,"EGP 700,000","Ain Shams, Cairo•",New,Benzine
