year,Brand,Car_Price,Location,Mileage,Type
2025,مرسيدس V300 2025 -  V300 AMG Long 2025 petrol,"EGP 7,800,000","New Cairo, Cairo•",New,Benzine
2014,Kia Cerato 2014 فابريكة بره وجوه بالكامل,"EGP 725,000","Suez District, Suez•",170000 km,Benzine
2025,Mercedes-Benz C200 2025,"EGP 4,300,000","Sheikh Zayed, Giza•",New,Benzine
2025,MG ZS 2025,"EGP 1,021,000","Helwan, Cairo•",28 km,Benzine
2014,بيجو 301 2014 بدون ملحوظة,"EGP 430,000","Nasr City, Cairo•",196000 km,Benzine
2016,Lada Granta 2016,"EGP 300,000","6th of October, Giza•",125000 km,Benzine
2017,تويوتا أفانزا 2017,"EGP 795,000","Hadayek al-Ahram, Giza•",153000 km,Benzine
2013,ميتسوبيشي لانسر  PUMA 2013  بحالة ممتازة,"EGP 520,000","Laurent, Alexandria•",202490 km,Benzine
2013,Kia K3 2013,"EGP 600,000","Belqas, Dakahlia•",229227 km,Benzine
2024,الإستلام فى سبتمبر تقسيط مباشربدون فوائد والمصاريف علينا لمدة سنتين,"EGP 2,100,000","Nasr City, Cairo•",New,Electric
2025,الإستلام فى سبتمبر تقسيط مباشربدون فوائد والمصاريف علينا لمدة سنتين,"EGP 1,500,000","Nasr City, Cairo•",New,Electric
2021,Toyota Corolla 2021,"EGP 1,185,000","New Cairo, Cairo•",53000 km,Benzine
2006,جيلى سي كيه 2006,"EGP 150,000","Khosous, Qalyubia•",42000 km,Benzine
2025,الإستلام فى سبتمبر تقسيط مباشربدون فوائد والمصاريف علينا لمدة سنتين,"EGP 1,800,000","Nasr City, Cairo•",New,Electric
2021,Hyundai Tucson 2021,"EGP 1,600,000","New Cairo, Cairo•",90000 km,Benzine
2023,Volkswagen ID6 2023 اعلى فئة,"EGP 1,850,000","Sheikh Zayed, Giza•",44000 km,Electric
2022,جيب رينجيد 2022 Jeep Renegade Limited  1.3 turbo 4wd,"EGP 1,250,000","Hadayek October, Giza•",70000 km,Benzine
2018,أوبل كورسا 2018 توب لاين بانوراما حاله ممتازه,"EGP 670,000","Nasr City, Cairo•",150000 km,Benzine
2015,سيتروين DS3 موديل 2015 كابورليه فابريكه,"EGP 670,000","Nasr City, Cairo•",95000 km,Benzine
2019,Skoda Kodiaq 2019,"EGP 1,550,000","5th Settlement, New Cairo•",200000 km,Benzine
2019,أوبل كروس لاند X 2019,"EGP 880,000","Nasr City, Cairo•",49000 km,Benzine
2020,MG MG 5 2020,"EGP 700,000","New Cairo, Cairo•",90000 km,Benzine
2025,Skoda Kodiaq 2025,"EGP 3,100,000","Makany Mall, Shorouk City•",New,Benzine
2014,رينو 14 2014,"EGP 325,000","Plaza Vida Mall, 6th of October•",178000 km,Benzine
2013,سكودا أوكتافيا 2013 فانتازيا,"EGP 690,000","5th Settlement, New Cairo•",157000 km,Benzine
2018,لادا جرانتا 2018,"EGP 270,000","Abasiya, Cairo•",234000 km,Benzine
2022,مرسيدس بنز سي 200 2022,"EGP 2,850,000","West Somid, 6th of October•",48000 km,Benzine
2011,Peugeot 5008 2011,"EGP 620,000","Obour City, Cairo•",180000 km,Benzine
2019,شيفروليه أفيو 2019,"EGP 505,000","Sporting, Alexandria•",140000 km,Benzine
2004,هيونداي كوبيه 2004,"EGP 480,000","Laurent, Alexandria•",110000 km,Benzine
2016,Renault Logan 2016,"EGP 380,000","Moharam Bik, Alexandria•",122000 km,Benzine
2012,كيا بيكانتو ٢٠١٢ ، بحالة ممتازة,"EGP 580,000","Smoha, Alexandria•",70000 km,Benzine
2009,Hyundai Matrix 2009,"EGP 520,000","Zahraa Madinat Nasr, Nasr City•",200000 km,Benzine
2018,رينو لوجان 2018,"EGP 375,000","Nasr City, Cairo•",163000 km,Benzine
2025,Skoda Kodiaq  suite 2025 سكودا كودياك سويت,"EGP 3,050,000","New Cairo, Cairo•",New,Benzine
2021,نيسان صني 2021 2021,"EGP 585,000","Ramses + Ramses Extension, Cairo•",94053 km,Benzine
2025,Mercedes-Benz E200 2025 AMG Fully Loaded,"EGP 5,800,000","New Zayed, Sheikh Zayed•",New,Benzine
2024,Mercedes EQA 260 Facelift,"EGP 2,350,000","New Cairo, Cairo•",New,Electric
2021,تويوتا كورولا 2021 2021,"EGP 1,190,000","Ramses + Ramses Extension, Cairo•",93033 km,Benzine
2023,Opel Corsa 2023,"EGP 900,000","Rehab City Compound, New Cairo•",76000 km,Benzine
